#,FOIAID,name,active,agency,official name,npi,station number,state,facility type,visn,parent,taxonomy
1,4-1,SOFTWARE SERVICE,False,,,,050,,VAO,,,
2,4-2,VISN 1,False,,,,,,VISN,,,
3,4-3,VISN 2,False,,,,,,VISN,,,
4,4-4,VISN 3,False,,,,,,VISN,,,
5,4-5,VISN 4,False,,,,,,VISN,,,
6,4-6,VISN 5,False,,,,,,VISN,,,
7,4-7,VISN 6,False,,,,,,VISN,,,
8,4-8,VISN 7,False,,,,,,VISN,,,
9,4-9,VISN 8,False,,,,,,VISN,,,
10,4-10,VISN 9,False,,,,,,VISN,,,
11,4-11,VISN 10,False,,,,,,VISN,,,
12,4-12,VISN 11,False,,,,,,VISN,,,
13,4-13,VISN 12,False,,,,,,VISN,,,
14,4-14,VISN 13,False,,,,,,VISN,,,
15,4-15,VISN 14,False,,,,,,VISN,,,
16,4-16,VISN 15,False,,,,,,VISN,,,
17,4-17,VISN 16,False,,,,,,VISN,,,
18,4-18,VISN 17,False,,,,,,VISN,,,
19,4-19,VISN 18,False,,,,,,VISN,,,
20,4-20,VISN 19,False,,,,,,VISN,,,
21,4-21,VISN 20,False,,,,,,VISN,,,
22,4-22,VISN 21,False,,,,,,VISN,,,
23,4-23,VISN 22,False,,,,,,VISN,,,
24,4-24,OFFICE OF INFORMATION SRV CNTR,False,VA,OFFICE OF INFORMATION SERVICE CENTER,,776,OHIO,OTHER,,,
25,4-25,APPEALS MANAGEMENT CENTER,False,,APPEALS MANAGEMENT CENTER (397),,397,DISTRICT OF COLUMBIA,BVA_VBA-SO,,,
26,4-26,AUSTIN,False,VA,,,200,TEXAS,DPC,,,
27,4-27,VISN 23,False,,,,,,VISN,,,
28,4-28,VA GREATER LOS ANGELES (691),False,,,,,,HCS,,,
29,4-29,VA HEARTLAND-EAST VISN15 (657),False,,,,,,HCS,,,
30,4-30,VA HEARTLAND-WEST VISN15 (589),False,,,,,,HCS,,,
31,4-31,VA CHICAGO HSC (537),False,,,,,,HCS,,,
32,4-32,CENTRAL PLAINS NETWORK (636),False,,,,,,HCS,,,
33,4-33,MONTANA HCS (436),False,,,,,,HCS,,,
34,4-34,VA PACIFIC ISLANDS HCS (459),False,,,,,,HCS,,,
35,4-35,NEW MEXICO HCS (501),False,,,,,,HCS,,,
36,4-36,AMARILLO HCS (504),False,,,,,,HCS,,,
37,4-37,MARYLAND HCS (512),False,,,,,,HCS,,,
38,4-38,WEST TEXAS HCS (519),False,,,,,,HCS,,,
39,4-39,BOSTON HCS (523),False,,,,,,HCS,,,
40,4-40,UPSTATE NEW YORK HCS (528),False,,,,,,HCS,,,
41,4-41,NORTH TEXAS HCS (549),False,,,,,,HCS,,,
42,4-42,EASTERN COLORADO HCS (554),False,,,,,,HCS,,,
43,4-43,NEW JERSEY HCS (561),False,,,,,,HCS,,,
44,4-44,BLACK HILLS HCS (568),False,,,,,,HCS,,,
45,4-45,CENTRAL CALIFORNIA HCS (570),False,,,,,,HCS,,,
46,4-46,N FLORIDA/S GEORGIA HCS (573),False,,,,,,HCS,,,
47,4-47,GREATER NEBRASKA HCS (597),False,,,,,,HCS,,,
48,4-48,CENTRAL ARKANSAS HCS (598),False,,,,,,HCS,,,
49,4-49,LONG BEACH HCS (600),False,,,,,,HCS,,,
50,4-50,CENTRAL ALABAMA HCS (619),False,,,,,,HCS,,,
51,4-51,HUDSON VALLEY HCS VAMC (620),False,,,,,,HCS,,,
52,4-52,TENNESSEE VALLEY HCS (626),False,,,,,,HCS,,,
53,4-53,PALO ALTO HCS (640),False,,,,,,HCS,,,
54,4-54,PITTSBURGH HCS (646),False,,,,,,HCS,,,
55,4-55,ROSEBURG HCS (653),False,,,,,,HCS,,,
56,4-56,SIERRA NEVADA HCS (654),False,,,,,,HCS,,,
57,4-57,SALT LAKE CITY HCS (660),False,,,,,,HCS,,,
58,4-58,PUGET SOUND HCS (663),False,,,,,,HCS,,,
59,4-59,SAN DIEGO HCS (664),False,,,,,,HCS,,,
60,4-60,SOUTH TEXAS HCS (671),False,,,,,,HCS,,,
61,4-61,CENTRAL TEXAS HCS (674),False,,,,,,HCS,,,
62,4-62,EASTERN KANSAS HCS (677),False,,,,,,HCS,,,
63,4-63,SOUTHERN ARIZONA VA HCS (678),False,,,,,,HCS,,,
64,4-64,CONNECTICUT HCS (689),False,,,,,,HCS,,,
65,4-65,EL PASO VA HCS (756),False,,,,,,HCS,,,
66,4-66,NEW YORK HHS (630),False,,,,,,HCS,,,
67,4-67,CENTRAL OFFICE,False,VA,,,101,DISTRICT OF COLUMBIA,CO,,,
68,4-68,AUSTIN FINANCE CENTER,False,VA,,,104,TEXAS,CO,,,
69,4-69,ZZ CROWN POINT SOC,True,VA,,,535BY,ILLINOIS,OPC,,,
70,4-70,ZZ CHATTANOOGA SOC,True,VA,,,622BY,TENNESSEE,OPC,,,
71,4-71,HINES, IL (DPC),False,VA,HINES FINANCE CENTER,,201,ILLINOIS,DPC,,,
72,4-72,LOS ANGELES (DPC),False,VA,,,202,CALIFORNIA,DPC,,,
73,4-73,PHILADELPHIA (DPC),False,VA,,,203,PENNSYLVANIA,DPC,,,
74,4-74,ST. PAUL (DPC),False,VA,,,204,MINNESOTA,DPC,,,
75,4-75,WASHINGTON (DPC),False,VA,SATELLITE SERVICE CENTER,,206,DISTRICT OF COLUMBIA,DPC,,,
76,4-76,BOSTON-RO,False,VA,,,301,MASSACHUSETTS,RO,,,
77,4-77,PROVIDENCE-RO,False,VA,,,304,RHODE ISLAND,RO,,,
78,4-78,NEW YORK-RO,False,VA,,,306,NEW YORK,RO,,,
79,4-79,BUFFALO-RO,False,VA,,,307,NEW YORK,RO,,,
80,4-80,HARTFORD-RO,False,VA,,,308,CONNECTICUT,RO,,,
81,4-81,NEWARK-RO,False,VA,,,309,NEW JERSEY,RO,,,
82,4-82,PHILADELPHIA-RO,False,VA,,,310,PENNSYLVANIA,RO,,,
83,4-83,PITTSBURG-RO,False,VA,,,311,PENNSYLVANIA,RO,,,
84,4-84,BALTIMORE-RO,False,VA,,,313,MARYLAND,RO,,,
85,4-85,ROANOKE-RO,False,VA,,,314,VIRGINIA,RO,,,
86,4-86,HUNTINGTON-RO,False,VA,,,315,WEST VIRGINIA,RO,,,
87,4-87,ATLANTA-RO,False,VA,,,316,GEORGIA,RO,,,
88,4-88,ST. PETERSBURG-RO,False,VA,,,317,FLORIDA,RO,,,
89,4-89,WINSTON-RO,False,VA,,,318,NORTH CAROLINA,RO,,,
90,4-90,COLUMBIA-RO,False,VA,,,319,SOUTH CAROLINA,RO,,,
91,4-91,NASHVILLE-RO,False,VA,,,320,TENNESSEE,RO,,,
92,4-92,NEW ORLEANS-RO,False,VA,,,321,LOUISIANA,RO,,,
93,4-93,MONTGOMERY-RO,False,VA,,,322,ALABAMA,RO,,,
94,4-94,JACKSON-RO,False,VA,,,323,MISSISSIPPI,RO,,,
95,4-95,CLEVELAND-RO,False,VA,,,325,OHIO,RO,,,
96,4-96,INDIANAPOLIS-RO,False,VA,,,326,INDIANA,RO,,,
97,4-97,LOUISVILLE-RO,False,VA,,,327,KENTUCKY,RO,,,
98,4-98,CHICAGO-RO,False,VA,,,328,ILLINOIS,RO,,,
99,4-99,DETROIT-RO,False,VA,,,329,MICHIGAN,RO,,,
100,4-100,MILWAUKEE-RO,False,VA,,,330,WISCONSIN,RO,,,
101,4-101,ST. LOUIS-RO,False,VA,,,331,MISSOURI,RO,,,
102,4-102,DES MOINES-RO,False,VA,,,333,IOWA,RO,,,
103,4-103,LINCOLN-RO,False,VA,,,334,NEBRASKA,RO,,,
104,4-104,ST. PAUL-RO,False,VA,,,335,MINNESOTA,RO,,,
